caste1,degree,employed1,income1,mother1,occupation,religion1,account
Sikh - Tonk Kshatriya,MD/MS (Medicine),Private Sector,Don't wish to specify,Garo,Oil/Gas,Hindu,fake
Sikh - Intercaste,CS (Company Secretary),Public Sector,INR 3 lakhs to 4 lakhs,Malayalam,Health Care,Hindu,fake
Sikh - Bhatra,Integrated PG,Central Government,INR 3 lakhs to 4 lakhs,Telugu,Government Employee,Hindu,fake
Digambar,Master of Hospital Administration,Public Sector,INR 30 lakhs to 40 lakhs,Garo,Defence,Hindu,fake
Orthodox,BL/LLB/BGL (Law),Central Government,INR 20 lakhs to 25 lakhs,Konkani,Non Working,Hindu,fake
Sikh - Ramgharia,BCA (Computer Application),Central Government,INR 25 lakhs to 30 lakhs,Magahi,Education/Training,Hindu,fake
Sikh - Bhatra,MDS (Master of Dental Surgery),Central Government,INR 3 lakhs to 4 lakhs,English,Advertising/Entertainment/Media,Hindu,fake
Sikh - Intercaste,M.Ed. (Education),Private Sector,INR 30 lakhs to 40 lakhs,Arabic ,Banking/Insurance/Financial Services,Hindu,fake
Sunni,B.Plan (Planning),State Government,INR 30 lakhs to 40 lakhs,Konkani,Defence/Merchant Navy,Hindu,fake
Sikh - Tonk Kshatriya,M.Plan. (Planning),Private Sector,INR 50 thousand to 1 lakh,marwari,Pharmaceutical/Biotechnology,Hindu,fake
Sikh - Ramgharia,Ph.D. (Doctorate),Private Sector,INR 50 thousand to 1 lakh,Sowrashtra,Advertising/Entertainment/Media,Hindu,fake
Sikh - Ramgharia,Master of Hospital Administration,Public Sector,INR 25 lakhs to 30 lakhs,Persian,Management/Corporate Professionals,Hindu,fake
Thiyya,10th,Public Sector,INR 30 lakhs to 40 lakhs,Manipuri,Travel/Airlines,Christian,fake
Mangalorean,Integrated PG,State Government,INR 50 thousand to 1 lakh,Kashmiri,Business Owner/Entrepreneur,Christian,fake
Suthar,Bachelor of Fashion Technology,State Government,INR 30 lakhs to 40 lakhs,Kashmiri,Business Owner/Entrepreneur,Christian,fake
Khandelwal,B.Ed (Education),State Government,INR 25 lakhs to 30 lakhs,Chatisgarhi,Defence,Christian,fake
Baidya,BE B.Tech (Engineering),Central Government,INR 50 thousand to 1 lakh,Kashmiri,Export/Import,Christian,fake
Vannia Kula Kshatriyar,MBA/PGDM,Private Sector,INR 30 lakhs to 40 lakhs,Tulu,Education/Training,Christian,fake
Saha,B.Pharm (Pharmacy),State Government,INR 20 lakhs to 25 lakhs,Lambani,Oil/Gas,Christian,fake
Shetty,MBA/PGDM,Central Government,INR 3 lakhs to 4 lakhs,Thadou kuki,Architecture/Design,Christian,fake
Bhovi,12th,Private Sector,INR 25 lakhs to 30 lakhs,Persian,Admin/Secretarial,Christian,fake
Senguntha Mudaliyar,Integrated PG,Central Government,INR 20 lakhs to 25 lakhs,Konkani,Non Working,Christian,fake
Mathur,10th,Central Government,Don't wish to specify,Others,Defence/Merchant Navy,Christian,fake
Maharashtrian,MCA/PGDCA,Public Sector,INR 50 lakhs and above,Maithili,Science,Christian,fake
Iyer,CS (Company Secretary),Public Sector,INR 50 thousand to 1 lakh,Dogri,Beauty/Fashion/Jewellery Designers,Christian,fake
Mudaliyar,Integrated PG,Public Sector,INR Under 50 thousand,Kumoani,Pharmaceutical/Biotechnology,Christian,fake
Devar/Thevar/Mukkulathor,Integrated PG,Private Sector,INR 3 lakhs to 4 lakhs,Lambani,Others,Christian,fake
"Bengali,Nepali",B.Sc (Science),Private Sector,INR 25 lakhs to 30 lakhs,Telugu,Architecture/Design,Christian,fake
Tamil Yadava,M.Lib.Sc. (Library Sciences),State Government,INR 30 lakhs to 40 lakhs,Telugu,Agriculture,Christian,fake
Lohana,M.Phil. (Philosophy),Public Sector,INR Under 50 thousand,Konkani,Agriculture,Christian,fake
Leva patel,12th,State Government,INR 50 thousand to 1 lakh,Manipuri,Defence/Management/Corporate Professionals,Christian,fake
Muthuraja,MD/MS (Medicine),Private Sector,INR 30 lakhs to 40 lakhs,Sowrashtra,Pharmaceutical/Biotechnology,Christian,fake
"Bengali,Nepali",MCA/PGDCA,State Government,INR Under 50 thousand,Maithili,Customer Service/Call Centre/BPO,Christian,fake
Sourashtra,10th,Central Government,INR Under 50 thousand,Punjabi,Oil/Gas,Christian,fake
Mali,Master of Hospital Administration,State Government,Don't wish to specify,Badaga,Telecom/ISP,Christian,fake
Meenavar,Engineering,Public Sector,INR 50 thousand to 1 lakh,Mizo,Export/Import,Christian,fake
Madiga,BHM (Hotel Management),Public Sector,INR 25 lakhs to 30 lakhs,Himachali/Pahari,Finance and Accounts,Christian,fake
Sunari,M.Ed. (Education),State Government,Don't wish to specify,Punjabi,Agriculture,Christian,fake
"Munnuru Kapu,Reddy",M.Ed. (Education),Central Government,INR 40 lakhs to 50 lakhs,Awadhi,Banking/Insurance/Financial Services,Christian,fake
Sikh - Kamboj,Other Doctorate,State Government,INR Under 50 thousand,Haryanvi,Sales/Business Development,Christian,fake
Brahmin - Velanadu,MA (Arts),Private Sector,INR 30 lakhs to 40 lakhs,Thadou kuki,Agriculture,Christian,fake
Intercaste,B.Ed (Education),Public Sector,INR Under 50 thousand,Swedish,Agriculture,Christian,fake
Jogi (Nath),M.Sc. (Science),Public Sector,INR 50 thousand to 1 lakh,Arunachali,Sales/Business Development,Christian,fake
Mogaveera,Other Doctorate,Central Government,INR 20 lakhs to 25 lakhs,Khasi,Defence,Christian,fake
Kumaoni Rajput,BE B.Tech (Engineering),Private Sector,INR Under 50 thousand,Konkani,Customer Service/Call Centre/BPO,Christian,fake
Intercaste,Bachelor of Fashion Technology,Central Government,INR 25 lakhs to 30 lakhs,Chatisgarhi,Government Employee,Christian,fake
Saha,B.Pharm (Pharmacy),Central Government,INR 3 lakhs to 4 lakhs,Bengali,Oil/Gas,Christian,fake
Sindhi-Rohiri,MDS (Master of Dental Surgery),Central Government,INR Under 50 thousand,Konkani,Finance and Accounts,Christian,fake
Gavara,M.Phil. (Philosophy),State Government,INR 50 thousand to 1 lakh,Awadhi,Banking/Insurance/Financial Services,Christian,fake
Sindhi-Amil,M.Plan. (Planning),Private Sector,INR 3 lakhs to 4 lakhs,Maithili,Health Care,Christian,fake
Rajastani,M.Lib.Sc. (Library Sciences),State Government,INR 40 lakhs to 50 lakhs,Tulu,Sales/Business Development,Christian,fake
Badaga,BL/LLB/BGL (Law),Private Sector,Don't wish to specify,Dogri,Electronics,Christian,fake
Bunt (Shetty),BDS (Dental Surgery),State Government,INR 25 lakhs to 30 lakhs,Malayalam,Non Working,Christian,fake
MahisyaSaurashtra,B.Arch (Architecture),Private Sector,INR 50 thousand to 1 lakh,Assamese,Management/Corporate Professionals,Christian,fake
Velaan/Vellalar,M.Com. (Commerce),Private Sector,INR 25 lakhs to 30 lakhs,Others,Legal,Christian,fake
Gounder,Engineering,Private Sector,INR 20 lakhs to 25 lakhs,English,Admin/Secretarial,Christian,fake
Boyer,CA (Chartered Accountant),Central Government,INR 40 lakhs to 50 lakhs,Dogri,Manufacturing/Engineering/R&D,Christian,fake
Besta,MBBS,State Government,INR 50 lakhs and above,Nepali,Hotels/Restaurants,Christian,fake
Meru Darji,Integrated PG,State Government,INR 50 thousand to 1 lakh,Oriya,Merchant Navy,Christian,fake
Khatri,Master of Fashion Technology,Central Government,INR 25 lakhs to 30 lakhs,Tamil,Electronics,Christian,fake
Sikh - Ravidasia,Integrated PG,State Government,INR 40 lakhs to 50 lakhs,Malayalam,Telecom/ISP,Christian,fake
Sikh - Rajput,10th,Central Government,INR 30 lakhs to 40 lakhs,Persian,Management/Corporate Professionals,Christian,fake
Gujjar,BHMS (Homeopathy),State Government,INR 50 thousand to 1 lakh,Malayalam,Education/Training,Christian,fake
Sikh - Ramgharia,ME/M.Tech/MS (Engg/Sciences),Public Sector,INR 40 lakhs to 50 lakhs,Awadhi,Hotels/Restaurants,Christian,fake
Kashyap,CFA (Chartered Financial Analyst),State Government,INR 20 lakhs to 25 lakhs,Sowrashtra,Human Resource,Christian,fake
Sia,B.Arch (Architecture),Public Sector,INR 25 lakhs to 30 lakhs,Others,Defence/Merchant Navy,Christian,fake
Sikh - Jat,Master of Hospital Administration,State Government,INR 3 lakhs to 4 lakhs,Khasi,Business Owner/Entrepreneur,Christian,fake
Ayyaraka,Bachelor of Fashion Technology,Private Sector,INR 30 lakhs to 40 lakhs,Himachali/Pahari,Health Care,Christian,fake
Brahmin - Tyagi,Arts/Graphic Designing,Central Government,Don't wish to specify,Swedish,Construction,Christian,fake
Ganiga,Integrated PG,Central Government,Don't wish to specify,Kutchi,Purchase/Logistics/Supply chain,Christian,fake
Kachara,MBBS,Central Government,INR 25 lakhs to 30 lakhs,Punjabi,Banking/Insurance/Financial Services,Christian,fake
Gudia,Other Diploma,Central Government,INR Under 50 thousand,Haryanvi,Marketing and Communications,Christian,fake
Others,B.Arch (Architecture),State Government,INR 50 lakhs and above,Telugu,Non Working,Christian,fake
Chaurasia,M.Ed. (Education),Public Sector,INR 25 lakhs to 30 lakhs,Oriya,Admin/Secretarial,Christian,fake
Padmashali,M.Pharm. (Pharmacy),Private Sector,INR 50 thousand to 1 lakh,English,Artists/Animators/Web Designers,Christian,fake
Kaibarta,M.Lib.Sc. (Library Sciences),Central Government,INR 3 lakhs to 4 lakhs,Maithili,Advertising/Entertainment/Media ,Christian,fake
Sikh - Majabi,Bachelor of Fashion Technology,State Government,INR 50 thousand to 1 lakh,Garhwali,Pharmaceutical/Biotechnology,Christian,fake
Sindhi,M.Com. (Commerce),State Government,INR 50 lakhs and above,Persian,IT,Christian,fake
Nhavi,BDS (Dental Surgery),Central Government,INR 50 thousand to 1 lakh,Khasi,Human Resource,Christian,fake
Brahmin - Iyer,BDS (Dental Surgery),Public Sector,INR 30 lakhs to 40 lakhs,Konkani,Purchase/Logistics/Supply chain,Christian,fake
Iyengar,MDS (Master of Dental Surgery),State Government,INR 25 lakhs to 30 lakhs,Assamese,Government Employee,Christian,fake
Brahmin - Panda,BDS (Dental Surgery),Public Sector,INR 3 lakhs to 4 lakhs,Tulu,Business Owner/Entrepreneur,Christian,fake
Muthuraja,B.Sc (Science),Central Government,INR 3 lakhs to 4 lakhs,Chatisgarhi,Government Employee,Christian,fake
Bahi,B.Ed (Education),Public Sector,Don't wish to specify,Thadou kuki,Defence/Management/Corporate Professionals,Christian,fake
Brahmin - Others,MA (Arts),Public Sector,INR 30 lakhs to 40 lakhs,Tulu,Travel/Airlines,Christian,fake
Digambar,MD/MS (Medicine),Public Sector,INR 50 thousand to 1 lakh,Badaga,Civil Services/Law Enforcement,Christian,fake
Mera,MA (Arts),Public Sector,INR Under 50 thousand,Kannada,Defence,Christian,fake
Brahmin - Bhumihar,MBBS,Private Sector,INR 40 lakhs to 50 lakhs,Bihari,Banking/Insurance/Financial Services,Christian,fake
Adi Andhra,Master of Hospital Administration,Central Government,INR 30 lakhs to 40 lakhs,Magahi,Merchant Navy,Christian,fake
Vaish,MBA/PGDM,State Government,INR 30 lakhs to 40 lakhs,Pushtu,Real Estate,Christian,fake
Brahmin 6000 Niyogi,B.Arch (Architecture),State Government,Don't wish to specify,Somali,Banking/Insurance/Financial Services,Christian,fake
Brahmin - Jangra,Engineering,Central Government,Don't wish to specify,Manipuri,Health Care,Christian,fake
Iyer,B.Sc (Science),Central Government,INR 50 lakhs and above,Sowrashtra,Non Working,Christian,fake
Valluvan,CA (Chartered Accountant),Private Sector,INR 50 lakhs and above,Hindi,Sales/Business Development,Christian,fake
Rajput,Other Doctorate,State Government,INR 3 lakhs to 4 lakhs,Thadou kuki,Artists/Animators/Web Designers,Christian,fake
Thiyya,MSW (Social Work),Public Sector,INR 25 lakhs to 30 lakhs,Himachali/Pahari,Others,Christian,fake
Menon,B.El.Ed (Elementary Education),Public Sector,INR 20 lakhs to 25 lakhs,Tulu,Export/Import,Christian,fake
Ambalavasi,BDS (Dental Surgery),State Government,INR 25 lakhs to 30 lakhs,Awadhi,Sales/Business Development,Christian,fake
"Sonar,Soni",B.Ed (Education),Public Sector,INR 25 lakhs to 30 lakhs,Lambani,Manufacturing/Engineering/R&D,Christian,fake
Urali Gounder,M.Phil. (Philosophy),State Government,INR 25 lakhs to 30 lakhs,Arabic ,Human Resource,Christian,fake
Gavali,Master of Hospital Administration,Private Sector,INR 25 lakhs to 30 lakhs,Konkani,Government Employee,Christian,fake
Brahmin - Iyengar,Ph.D. (Doctorate),State Government,Don't wish to specify,Sanskrit,Advertising/Entertainment/Media,Christian,fake
"Koiri,Kushwaha,Maurya",BHMS (Homeopathy),Central Government,INR 50 thousand to 1 lakh,Arabic ,Defence/Management/Corporate Professionals,Christian,fake
Shikarpuri Sindhi,MD/MS (Medicine),Central Government,Don't wish to specify,Chatisgarhi,Advertising/Entertainment/Media,Christian,fake
Namboodiri,MBBS,Public Sector,INR 25 lakhs to 30 lakhs,Swedish,Real Estate,Christian,fake
Brahmin - Gurukkal,MD/MS (Medicine),Private Sector,INR 40 lakhs to 50 lakhs,Maithili,Defence/Merchant Navy,Christian,fake
Nhavi,Integrated PG,Central Government,INR 20 lakhs to 25 lakhs,Gujarati,Banking/Insurance/Financial Services,Christian,fake
Mahishya,BBA/BBM/BBS,Private Sector,INR 25 lakhs to 30 lakhs,Bhojpuri,Export/Import,Christian,fake
Sonar,M.Ed. (Education),State Government,INR 25 lakhs to 30 lakhs,Somali,Architecture/Design,Christian,fake
Dusadh (Paswan),CS (Company Secretary),Private Sector,INR 30 lakhs to 40 lakhs,Haryanvi,Real Estate,Christian,fake
Mehra,BDS (Dental Surgery),State Government,INR 25 lakhs to 30 lakhs,Himachali/Pahari,Defence/Management/Corporate Professionals,Christian,fake
Leva Patidar,MA (Arts),Private Sector,INR Under 50 thousand,Garhwali,Admin/Secretarial,Christian,fake
Baniya,MCA/PGDCA,State Government,INR 50 lakhs and above,Sindhi,Management/Corporate Professionals,Christian,fake
Pal,BHM (Hotel Management),Public Sector,INR 50 thousand to 1 lakh,Chatisgarhi,Civil Services/Law Enforcement,Christian,fake
Yadav,Engineering,Central Government,INR 50 thousand to 1 lakh,Telugu,Human Resource,Christian,fake
Ramgariah,Other School/Graduation,Central Government,INR 30 lakhs to 40 lakhs,Persian,Merchant Navy,Christian,fake
Khandelwal,B.Com (Commerce),Private Sector,INR 20 lakhs to 25 lakhs,Sanskrit,Government Employee,Christian,fake
Ezhava,10th,Public Sector,INR 30 lakhs to 40 lakhs,Rajasthani,Beauty/Fashion/Jewellery Designers,Christian,fake
Koiri,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 40 lakhs to 50 lakhs,Gujarati,Oil/Gas,Christian,fake
Iyer,MA (Arts),Central Government,INR 50 lakhs and above,Maithili,Hotels/Restaurants,Christian,fake
Baishya,BCA (Computer Application),Public Sector,INR 20 lakhs to 25 lakhs,Sanskrit,Merchant Navy,Christian,fake
Napit,Bachelor of Fashion Technology,State Government,INR Under 50 thousand,Hindi,Defence/Merchant Navy,Christian,fake
Velama,ME/M.Tech/MS (Engg/Sciences),Central Government,Don't wish to specify,Oriya,Civil Services/Law Enforcement,Christian,fake
Keralite,B.Ed (Education),Public Sector,INR 30 lakhs to 40 lakhs,Sindhi,Civil Services/Law Enforcement,Christian,fake
Sikh - Khatri,10th,Private Sector,INR 25 lakhs to 30 lakhs,Awadhi,Construction,Christian,fake
Urs,Bachelor of Fashion Technology,Central Government,INR 30 lakhs to 40 lakhs,Garo,Customer Service/Call Centre/BPO,Christian,fake
Chaurasia,CS (Company Secretary),Public Sector,INR Under 50 thousand,Haryanvi,Beauty/Fashion/Jewellery Designers,Christian,fake
Meru Darji,MBA/PGDM,Central Government,INR 50 lakhs and above,Kutchi,Defence/Merchant Navy,Christian,fake
Arora,BHM (Hotel Management),State Government,INR 30 lakhs to 40 lakhs,Hindi,Merchant Navy,Christian,fake
Shah,10th,Public Sector,INR 30 lakhs to 40 lakhs,Assamese,Admin/Secretarial,Christian,fake
Vaniya,PG Diploma,State Government,INR 3 lakhs to 4 lakhs,English,Admin/Secretarial,Christian,fake
Bishnoi/Vishnoi,CA (Chartered Accountant),Private Sector,Don't wish to specify,Dogri,Admin/Secretarial,Christian,fake
Brahmin - Rudraj,M.Com. (Commerce),Private Sector,INR 30 lakhs to 40 lakhs,Garhwali,Others,Christian,fake
Kurumbar,10th,State Government,INR 30 lakhs to 40 lakhs,Garo,Finance and Accounts,Christian,fake
Brahmin - Dixit,CFA (Chartered Financial Analyst),State Government,INR 30 lakhs to 40 lakhs,Thadou kuki,Health Care,Christian,fake
Mukkulathor,Master of Fashion Technology,Central Government,INR Under 50 thousand,Bihari,Admin/Secretarial,Christian,fake
Tamil,M.Arch. (Architecture),Public Sector,INR 30 lakhs to 40 lakhs,Chatisgarhi,Real Estate,Christian,fake
Malayalee Namboodiri,B.Com (Commerce),Public Sector,INR 30 lakhs to 40 lakhs,English,Defence/Management/Corporate Professionals,Christian,fake
Veluthedathu Nair,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 25 lakhs to 30 lakhs,Manipuri,Defence/Merchant Navy,Christian,fake
Vaishnav Vanik,PG Diploma,Private Sector,INR 25 lakhs to 30 lakhs,Tulu,Artists/Animators/Web Designers,Christian,fake
Brahmin 6000 Niyogi,Master of Fashion Technology,Public Sector,INR 30 lakhs to 40 lakhs,Arabic ,Non Working,Christian,fake
Kulal,M.Lib.Sc. (Library Sciences),Central Government,INR 25 lakhs to 30 lakhs,Somali,Travel/Airlines,Christian,fake
Mahajan,10th,Private Sector,INR Under 50 thousand,Gujarati,Pharmaceutical/Biotechnology,Christian,fake
Vokkaliga,Master of Fashion Technology,Public Sector,INR 3 lakhs to 4 lakhs,Manipuri,Defence/Management/Corporate Professionals,Christian,fake
Vysya,CS (Company Secretary),State Government,INR 25 lakhs to 30 lakhs,marwari,Export/Import,Christian,fake
Gurav,10th,State Government,Don't wish to specify,Oriya,Purchase/Logistics/Supply chain,Christian,fake
Kushwaha,M.Pharm. (Pharmacy),Central Government,INR 30 lakhs to 40 lakhs,Tamil,Advertising/Entertainment/Media,Christian,fake
Pasi,Other Doctorate,Public Sector,INR Under 50 thousand,Kutchi,Hotels/Restaurants,Christian,fake
Mahajan,M.Plan. (Planning),Private Sector,INR 25 lakhs to 30 lakhs,Tulu,Banking/Insurance/Financial Services,Christian,fake
Mala,MBA/PGDM,Public Sector,INR 50 lakhs and above,marwari,Science,Christian,fake
Udayar,M.Pharm. (Pharmacy),Central Government,INR 3 lakhs to 4 lakhs,Badaga,Non Working,Christian,fake
Sikh - Kamboj,B.El.Ed (Elementary Education),State Government,INR 40 lakhs to 50 lakhs,Sowrashtra,Defence/Merchant Navy,Christian,fake
Koshti,MD/MS (Medicine),Private Sector,INR 25 lakhs to 30 lakhs,Others,IT,Christian,fake
Kapu,M.Plan. (Planning),Public Sector,INR 40 lakhs to 50 lakhs,Persian,Government Employee,Christian,fake
Devar/Thevar/Mukkulathor,MBA/PGDM,Public Sector,INR 3 lakhs to 4 lakhs,Lambani,Oil/Gas,Christian,fake
Vaniya,MCA/PGDCA,Central Government,INR Under 50 thousand,Marathi,Science,Christian,fake
Marvar,PG Diploma,Private Sector,INR 50 thousand to 1 lakh,Telugu,Advertising/Entertainment/Media,Christian,fake
Vanniyar,M.Phil. (Philosophy),Public Sector,INR 40 lakhs to 50 lakhs,Bihari,Banking/Insurance/Financial Services,Christian,fake
Jeer,MCA/PGDCA,State Government,INR 30 lakhs to 40 lakhs,Oriya,Beauty/Fashion/Jewellery Designers,Christian,fake
Arya Vysya,MBA/PGDM,Private Sector,INR 50 lakhs and above,Chatisgarhi,Business Owner/Entrepreneur,Christian,fake
Kumbara,B.Arch (Architecture),State Government,INR Under 50 thousand,Thadou kuki,Travel/Airlines,Christian,fake
Mallah,Bachelor of Fashion Technology,State Government,INR 20 lakhs to 25 lakhs,Maithili,Management/Corporate Professionals,Christian,fake
Sikh - Others,B.Arch (Architecture),Public Sector,Don't wish to specify,Magahi,Government Employee,Christian,fake
Devar/Thevar/Mukkulathor,B.Plan (Planning),Central Government,INR 50 lakhs and above,Kutchi,Non Working,Christian,fake
"Arora,Punjabi",M.Com. (Commerce),Private Sector,INR 30 lakhs to 40 lakhs,Bengali,Purchase/Logistics/Supply chain,Christian,fake
Kurumbar,B.Pharm (Pharmacy),Public Sector,INR 40 lakhs to 50 lakhs,Santhali,Management/Corporate Professionals,Christian,fake
Ahom,Arts/Graphic Designing,Private Sector,INR 30 lakhs to 40 lakhs,Bengali,Export/Import,Christian,fake
Saini,BHM (Hotel Management),Central Government,INR 50 lakhs and above,Kutchi,Export/Import,Christian,fake
Matang,12th,State Government,INR 20 lakhs to 25 lakhs,Assamese,Human Resource,Christian,fake
Chaurasia,CFA (Chartered Financial Analyst),Central Government,INR 20 lakhs to 25 lakhs,Chatisgarhi,Architecture/Design,Christian,fake
Kachara,MA (Arts),Public Sector,Don't wish to specify,Arabic ,Travel/Airlines,Christian,fake
Rajput Rohella/Tank,BBA/BBM/BBS,Public Sector,INR 50 thousand to 1 lakh,Chatisgarhi,Real Estate,Christian,fake
Vannia Kula Kshatriyar,MA (Arts),Central Government,INR 20 lakhs to 25 lakhs,Marwari,Customer Service/Call Centre/BPO,Christian,fake
Kori,M.Pharm. (Pharmacy),Public Sector,INR 40 lakhs to 50 lakhs,Bhojpuri,Others,Christian,fake
"Munnuru Kapu,Reddy",Master of Fashion Technology,Public Sector,INR 30 lakhs to 40 lakhs,Santhali,Science,Christian,fake
Balija,CS (Company Secretary),Public Sector,INR 25 lakhs to 30 lakhs,English,Electronics,Christian,fake
Vankar,MBA/PGDM,State Government,INR 50 lakhs and above,Kashmiri,Agriculture,Christian,fake
Mahishya,MSW (Social Work),Public Sector,INR 50 lakhs and above,Kashmiri,Government Employee,Christian,fake
Brahmin - Telugu,MCA/PGDCA,Private Sector,INR 40 lakhs to 50 lakhs,Bhojpuri,Banking/Insurance/Financial Services,Christian,fake
Brahmin -Gowd Saraswat,12th,Private Sector,INR 30 lakhs to 40 lakhs,Arunachali,Advertising/Entertainment/Media,Christian,fake
Sindhi-Larkana,PG Diploma,Central Government,INR 30 lakhs to 40 lakhs,Dogri,Health Care,Christian,fake
Brahmin - Bhatt,CS (Company Secretary),Private Sector,INR 25 lakhs to 30 lakhs,Bhojpuri,Beauty/Fashion/Jewellery Designers,Christian,fake
Brahmin - Shivhalli,CS (Company Secretary),State Government,INR 25 lakhs to 30 lakhs,Assamese,Purchase/Logistics/Supply chain,Christian,fake
Badaga,BBA/BBM/BBS,Private Sector,INR 40 lakhs to 50 lakhs,Kumoani,Travel/Airlines,Christian,fake
Telaga,BCA (Computer Application),Private Sector,INR 3 lakhs to 4 lakhs,Badaga,Architecture/Design,Christian,fake
Maratha,Integrated PG,Private Sector,INR 25 lakhs to 30 lakhs,marwari,Merchant Navy,Christian,fake
Mala,B.Ed (Education),State Government,INR 50 thousand to 1 lakh,Rajasthani,Telecom/ISP,Christian,fake
Karuneegar,M.Arch. (Architecture),Public Sector,INR 25 lakhs to 30 lakhs,Marwari,Education/Training,Christian,fake
Prajapati,M.Sc. (Science),Public Sector,INR 3 lakhs to 4 lakhs,marwari,Agriculture,Christian,fake
Kokanastha Maratha,Master of Fashion Technology,Central Government,INR 30 lakhs to 40 lakhs,Sowrashtra,Defence/Merchant Navy,Christian,fake
Kokanastha Maratha,M.Plan. (Planning),State Government,INR 20 lakhs to 25 lakhs,Telugu,Real Estate,Christian,fake
Gounder,BDS (Dental Surgery),Private Sector,INR 50 thousand to 1 lakh,Arabic ,Admin/Secretarial,Christian,fake
Brahmin Kanada Madhva,MCA/PGDCA,State Government,INR 25 lakhs to 30 lakhs,English,Pharmaceutical/Biotechnology,Christian,fake
Chandraseniya Kayastha Prab,B.El.Ed (Elementary Education),State Government,Don't wish to specify,Somali,Business Owner/Entrepreneur,Christian,fake
Kurmi Kshatriya,MA (Arts),State Government,INR 30 lakhs to 40 lakhs,Bhojpuri,Civil Services/Law Enforcement,Christian,fake
Leva patil,B.El.Ed (Elementary Education),Private Sector,INR 40 lakhs to 50 lakhs,Coorgi,Agriculture,Christian,fake
Gounder,Other School/Graduation,Central Government,INR Under 50 thousand,Others,Defence/Merchant Navy,Christian,fake
Jeer,M.Plan. (Planning),Public Sector,INR 30 lakhs to 40 lakhs,Garhwali,Non Working,Christian,fake
Savji,10th,Central Government,INR 50 thousand to 1 lakh,Marathi,Hotels/Restaurants,Christian,fake
Tili,B.Plan (Planning),State Government,Don't wish to specify,Sindhi,Telecom/ISP,Christian,fake
Mathur,Arts/Graphic Designing,Public Sector,INR 25 lakhs to 30 lakhs,Thadou kuki,Business Owner/Entrepreneur,Christian,fake
Uppara,B.Sc (Science),Private Sector,INR 25 lakhs to 30 lakhs,Coorgi,Defence,Christian,fake
Marwari,MA (Arts),Public Sector,INR 50 lakhs and above,English,Electronics,Christian,fake
Mudaliar - Senguntha,Integrated PG,Private Sector,INR 30 lakhs to 40 lakhs,Oriya,Sales/Business Development,Christian,fake
Tamil,Arts/Graphic Designing,State Government,INR 30 lakhs to 40 lakhs,Tamil,Pharmaceutical/Biotechnology,Christian,fake
Lodhi Rajput,BFA (Fine Arts),Private Sector,INR 40 lakhs to 50 lakhs,Dogri,Manufacturing/Engineering/R&D,Christian,fake
Kshatriya,MCA/PGDCA,State Government,INR 25 lakhs to 30 lakhs,Awadhi,IT,Christian,fake
Brahmin - Hoysala,M.Sc. (Science),Public Sector,INR 30 lakhs to 40 lakhs,Sowrashtra,Artists/Animators/Web Designers,Christian,fake
Menon,MBBS,Private Sector,INR 20 lakhs to 25 lakhs,Garo,IT,Christian,fake
Sakkhar Sindhi,B.El.Ed (Elementary Education),Private Sector,INR 20 lakhs to 25 lakhs,Bihari,Merchant Navy,Christian,fake
Nair Vaniya,CS (Company Secretary),Central Government,INR 50 lakhs and above,Bihari,Government Employee,Christian,fake
Gavali,BFA (Fine Arts),State Government,INR 30 lakhs to 40 lakhs,Assamese,Export/Import,Christian,fake
Lingayath,Integrated PG,Public Sector,INR 40 lakhs to 50 lakhs,Chatisgarhi,Civil Services/Law Enforcement,Christian,fake
Valluvan,MCA/PGDCA,Central Government,INR 30 lakhs to 40 lakhs,Bihari,Electronics,Christian,fake
Vaddera,MCA/PGDCA,State Government,INR 25 lakhs to 30 lakhs,Coorgi,Education/Training,Christian,fake
Sindhi-Hyderabadi,12th,Private Sector,INR 50 lakhs and above,Garhwali,Education/Training,Christian,fake
Kushwaha,B.El.Ed (Elementary Education),Public Sector,INR 25 lakhs to 30 lakhs,Dogri,Non Working,Christian,fake
Tili,CS (Company Secretary),Central Government,INR 30 lakhs to 40 lakhs,English,Travel/Airlines,Christian,fake
Brahmin - Bhatt,Ph.D. (Doctorate),Public Sector,INR 40 lakhs to 50 lakhs,Garhwali,Agriculture,Christian,fake
Kurumbar,10th,Private Sector,INR 30 lakhs to 40 lakhs,Maithili,Telecom/ISP,Christian,fake
Arekatica,M.Lib.Sc. (Library Sciences),Private Sector,Don't wish to specify,Thadou kuki,Admin/Secretarial,Christian,fake
Brahmin - Barendra,Master of Fashion Technology,Public Sector,INR 25 lakhs to 30 lakhs,English,Government Employee,Christian,fake
Brahmin,MSW (Social Work),Public Sector,INR 50 thousand to 1 lakh,Persian,Government Employee,Christian,fake
Brahmin - Hoysala,MA (Arts),Private Sector,Don't wish to specify,Nepali,Legal,Christian,fake
Rohiri Sindhi,Arts/Graphic Designing,Central Government,INR 30 lakhs to 40 lakhs,Marwari,IT,Christian,fake
Besta,M.Arch. (Architecture),Private Sector,INR 40 lakhs to 50 lakhs,Assamese,Others,Christian,fake
Maheshwari,Other Doctorate,Public Sector,INR 50 thousand to 1 lakh,Haryanvi,Purchase/Logistics/Supply chain,Christian,fake
